id,updated,created,priceSource,priceAsset,priceReference,check1Source,check1Asset,check1Reference,check1Limit,check2Source,check2Asset,check2Reference,check2Limit,currentPrice,priceValiditySeconds,priceTimestamp,referenceId,assetDisplayName,referenceDisplayName
11,2025-12-26 14:08:27,2024-02-21 13:30:08,Kraken,BTC,USDT,,BTC,USDT,0.01,,,,,0.00001123642219,300,2025-12-26 14:08:27,123,,
10,2025-12-26 14:10:16,2024-02-21 13:30:08,Kraken,XMR,USDT,,monero,tether,0.05,,,,,0.00228791068,300,2025-12-26 14:10:16,123,,
9,2025-12-26 14:10:16,2024-02-21 13:30:07,CoinGecko,polygon-ecosystem-token,tether,,POL,USDT,0.03,,,,,9.490537371,300,2025-12-26 14:10:16,123,POL,USDT
8,2025-12-26 14:02:01,2024-02-21 13:30:07,Binance,SAND,USDT,,the-sandbox,tether,0.03,,,,,8.826125331,300,2025-12-26 14:02:01,123,,
7,2025-12-26 14:02:00,2024-02-21 13:30:07,Kraken,CHF,USDT,,Ethereum/XCHF,Ethereum/USDT,0.1,,,,,0.7868,300,2025-12-26 14:02:00,123,,
6,2025-12-26 14:08:25,2024-02-21 13:30:07,Kraken,ETH,USDT,,ETH,USDT,0.01,,,,,0.0003350903236,300,2025-12-26 14:08:25,123,,
5,2025-12-26 14:10:15,2024-02-21 13:30:07,Kraken,USD,USDT,,USDC,USDT,0.01,,,,,0.99935,300,2025-12-26 14:10:15,,,
4,2025-12-26 14:10:15,2024-02-21 13:30:07,Kraken,USD,USDT,,DAI,USDT,0.01,,,,,0.99935,300,2025-12-26 14:10:15,,,
3,2025-12-26 14:01:58,2024-02-21 13:30:07,Frankencoin,FPS,ZCHF,,,,,,,,,0.000835,300,2025-12-26 14:01:58,251,,
2,2025-12-26 14:10:17,2024-02-21 13:30:07,Kraken,CHF,USDT,,Ethereum/ZCHF,Ethereum/USDT,0.1,,,,,0.7869,300,2025-12-26 14:10:17,123,,
1,2025-12-26 14:01:56,2024-02-21 13:30:06,Kraken,USD,USDT,,USDC,USDT,0.01,,,,,0.99934,300,2025-12-26 14:01:56,,,
