id,name,type,buyable,sellable,chainId,sellCommand,dexName,category,blockchain,uniqueName,description,comingSoon,sortOrder,approxPriceUsd,ikna,priceRuleId,approxPriceChf,cardBuyable,cardSellable,instantBuyable,instantSellable,financialType,decimals,paymentEnabled,amlRuleFrom,amlRuleTo,approxPriceEur,refundEnabled
361,USDC,Token,TRUE,TRUE,0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,,USDC,Public,BinanceSmartChain,BinanceSmartChain/USDT,Binance-Peg USD Coin,FALSE,603,1,FALSE,5,0.7885021082,FALSE,FALSE,FALSE,FALSE,USD,18,FALSE,0,0,0.8489915028,TRUE
356,DEPS,Token,TRUE,TRUE,0x9d74de101e2a54ad42198f37bdcce0a0160acacb,,DEPS,Public,Polygon,Polygon/DEPS,dEURO Protocol Share,FALSE,409,0.4250153416,FALSE,51,0.3351254929,FALSE,FALSE,FALSE,FALSE,DEPS,18,FALSE,0,0,0.3608344136,TRUE
355,DEPS,Token,TRUE,TRUE,0x5f674bf6d559229bdd29d642d2e0978f1e282722,,DEPS,Public,Base,Base/DEPS,dEURO Protocol Share,FALSE,709,0.4250153416,FALSE,51,0.3351254929,FALSE,FALSE,FALSE,FALSE,DEPS,18,FALSE,0,0,0.3608344136,TRUE
354,DEPS,Token,FALSE,TRUE,0x103747924e74708139a9400e4ab4bea79fffa380,,DEPS,Public,Ethereum,Ethereum/DEPS,dEURO Protocol Share,FALSE,9,0.4250153416,FALSE,51,0.3351254929,FALSE,FALSE,FALSE,FALSE,DEPS,18,FALSE,0,0,0.3608344136,TRUE
351,dEURO,Token,TRUE,TRUE,0x1b5f7fa46ed0f487f049c42f374ca4827d65a264,,dEURO,Public,Base,Base/dEURO,Decentralized EURO,FALSE,,1.17786809,FALSE,39,0.9287514723,FALSE,FALSE,FALSE,FALSE,EUR,18,TRUE,0,0,1,TRUE
350,dEURO,Token,TRUE,TRUE,0x1b5f7fa46ed0f487f049c42f374ca4827d65a264,,dEURO,Public,Optimism,Optimism/dEURO,Decentralized EURO,FALSE,,1.17786809,FALSE,39,0.9287514723,FALSE,FALSE,FALSE,FALSE,EUR,18,TRUE,0,0,1,TRUE
349,XAUt,Token,FALSE,FALSE,0x68749665ff8d2d112fa859aa293f07a622782f38,,XAUt,Public,Ethereum,Ethereum/XAUt,Tether Gold,FALSE,,4545.464559,FALSE,53,3584.108388,FALSE,FALSE,FALSE,FALSE,Other,6,FALSE,0,0,3859.060787,TRUE
348,cbBTC,Token,FALSE,FALSE,0xcbb7c0000ab88b473b1f5afd9ef808440eed33bf,,cbBTC,Public,Ethereum,Ethereum/cbBTC,Coinbase Wrapped BTC,FALSE,,87278.97353,FALSE,11,68819.65463,FALSE,FALSE,FALSE,FALSE,BTC,8,FALSE,0,0,74099.1069,TRUE
347,LsETH,Token,FALSE,FALSE,0x8c1bed5b9a0928467c9b1341da1d7bd5e10b6549,,LsETH,Public,Ethereum,Ethereum/LsETH,Liquid Staked ETH,FALSE,,3136.936051,FALSE,52,2473.480689,FALSE,FALSE,FALSE,FALSE,Other,18,FALSE,0,0,2663.232052,TRUE
344,dEURO,Token,TRUE,TRUE,0x5e85faf503621830ca857a5f38b982e0cc57d537,,dEURO,Public,Arbitrum,Arbitrum/dEURO,Decentralized EURO,FALSE,,1.17786809,FALSE,39,0.9287514723,FALSE,FALSE,FALSE,FALSE,EUR,18,TRUE,0,0,1,TRUE
343,dEURO,Token,TRUE,TRUE,0xc2ff25dd99e467d2589b2c26edd270f220f14e47,,dEURO,Public,Polygon,Polygon/dEURO,Decentralized EURO,FALSE,,1.17786809,FALSE,39,0.9287514723,FALSE,FALSE,FALSE,FALSE,EUR,18,TRUE,0,0,1,TRUE
338,nDEPS,Token,TRUE,TRUE,0xc71104001a3ccda1bef1177d765831bd1bfe8ee6,,nDEPS,Public,Ethereum,Ethereum/nDEPS,dEURO Protocol Share,FALSE,,0.4250153416,FALSE,51,0.3351254929,FALSE,FALSE,FALSE,FALSE,Other,18,FALSE,0,0,0.3608344136,TRUE
